"fips","race","sex","TotalSuspensions","TotalEnrollment","Suspension_Rates"
1,1,1,63626,250441,0.254055845488558
1,1,2,24104,220581,0.109275050888336
1,2,1,91458,149953,0.609911105479717
1,2,2,50272,134226,0.37453250487983
1,3,1,5648,39350,0.143532401524778
1,3,2,2538,35248,0.0720040853381752
1,4,1,692,7434,0.0930858218993812
1,4,2,360,7009,0.051362533885005
1,5,1,1610,5359,0.300429184549356
1,5,2,644,5136,0.125389408099688
1,6,1,140,654,0.214067278287462
1,6,2,108,662,0.163141993957704
1,7,1,2416,7133,0.338707416234403
1,7,2,1002,6557,0.152813786792741
4,1,1,53374,270335,0.197436513954908
4,1,2,18070,239360,0.0754929812834225
4,2,1,20664,38057,0.542975011167459
4,2,2,9114,32444,0.280914807052151
4,3,1,77880,328238,0.237266861240929
4,3,2,30570,291229,0.104968941966631
4,4,1,2328,18905,0.123142025919069
4,4,2,772,17677,0.0436725688748091
4,5,1,12670,33691,0.376064824433825
4,5,2,6758,30091,0.22458542421322
4,6,1,698,2487,0.280659429030961
4,6,2,302,2351,0.128455976180349
4,7,1,6202,17631,0.351766774431399
4,7,2,2422,15940,0.151944792973651
5,1,1,55316,187782,0.294575624926777
5,1,2,21012,164233,0.12794018254553
5,2,1,45894,59634,0.769594526612335
5,2,2,27084,54068,0.500924761411556
5,3,1,10516,52764,0.199302554772193
5,3,2,4512,47510,0.0949694801094506
5,4,1,642,5744,0.111768802228412
5,4,2,224,5406,0.0414354421013688
5,5,1,788,2074,0.379942140790743
5,5,2,404,1928,0.20954356846473
5,6,1,658,3516,0.187144482366325
5,6,2,286,3149,0.0908224833280406
5,7,1,3550,6801,0.52198206146155
5,7,2,1596,6286,0.253897550111359
6,1,1,108280,944346,0.114661363525657
6,1,2,35146,817032,0.0430166749894741
6,2,1,76734,230857,0.332387581923009
6,2,2,36362,199427,0.182332382275219
6,3,1,241748,2609507,0.0926412536927473
6,3,2,93316,2305970,0.0404671353053162
6,4,1,19968,475058,0.0420327623153383
6,4,2,5788,414330,0.0139695411869766
6,5,1,7120,24110,0.29531314807134
6,5,2,3080,22080,0.139492753623188
6,6,1,4874,26957,0.180806469562637
6,6,2,2040,24126,0.0845560805769709
6,7,1,22922,150156,0.152654572577852
6,7,2,8652,133365,0.0648745922843325
8,1,1,45824,293874,0.155930773052397
8,1,2,14306,258369,0.0553704198259079
8,2,1,12046,27962,0.430798941420499
8,2,2,5118,24319,0.210452732431432
8,3,1,44672,232924,0.191787879308272
8,3,2,19152,210260,0.0910872253400552
8,4,1,1500,19723,0.0760533387415708
8,4,2,484,19743,0.0245150179810566
8,5,1,1626,4433,0.366794495826754
8,5,2,788,4105,0.191961023142509
8,6,1,396,1624,0.24384236453202
8,6,2,120,1513,0.0793126239259749
8,7,1,5696,20328,0.280204643841007
8,7,2,2316,18515,0.125087766675668
9,1,1,22854,193121,0.118340315139213
9,1,2,7968,166680,0.0478041756659467
9,2,1,20612,45443,0.453579209119116
9,2,2,10926,38289,0.285356107498237
9,3,1,23378,91620,0.255162628247108
9,3,2,12566,79260,0.15854150895786
9,4,1,1216,16791,0.0724197486748854
9,4,2,312,15747,0.019813297771004
9,5,1,316,1098,0.287795992714026
9,5,2,164,1151,0.142484795829713
9,6,1,44,503,0.0874751491053678
9,6,2,36,453,0.0794701986754967
9,7,1,2324,9287,0.250242274146657
9,7,2,1168,8426,0.138618561595063
10,1,1,8578,41498,0.206708757048532
10,1,2,3562,34971,0.101855823396529
10,2,1,15846,29161,0.543397002846267
10,2,2,9202,24476,0.375960124203301
10,3,1,3916,17631,0.222108785661619
10,3,2,1978,15537,0.127309004312287
10,4,1,286,3381,0.0845903578822833
10,4,2,120,3200,0.0375
10,5,1,190,400,0.475
10,5,2,96,357,0.26890756302521
10,6,1,28,300,0.0933333333333333
10,6,2,24,302,0.0794701986754967
10,7,1,1078,2506,0.430167597765363
10,7,2,690,2198,0.313921747042766
11,1,1,214,5062,0.0422757803239826
11,1,2,36,4610,0.00780911062906725
11,2,1,10226,36268,0.281956545715231
11,2,2,6520,32877,0.198314931411017
11,3,1,792,11287,0.0701692212279614
11,3,2,356,9864,0.0360908353609084
11,4,1,72,904,0.079646017699115
11,4,2,16,827,0.0193470374848851
11,5,1,8,137,0.0583941605839416
11,5,2,12,110,0.109090909090909
11,6,1,12,97,0.123711340206186
11,6,2,8,74,0.108108108108108
11,7,1,92,889,0.103487064116985
11,7,2,48,904,0.0530973451327434
12,1,1,156790,696987,0.22495398049031
12,1,2,63646,603234,0.10550797866168
12,2,1,178002,408985,0.435228675868308
12,2,2,101148,354407,0.28540068339508
12,3,1,113890,654875,0.173911051727429
12,3,2,54140,568626,0.0952119670926057
12,4,1,4070,46976,0.0866399863760218
12,4,2,1752,42596,0.0411306225936708
12,5,1,2402,6596,0.364160097028502
12,5,2,1112,5793,0.19195580873468
12,6,1,734,3257,0.225360761436905
12,6,2,416,3050,0.136393442622951
12,7,1,21630,57256,0.377777001536957
12,7,2,10694,51037,0.209534259458824
13,1,1,112850,445605,0.253251197809719
13,1,2,43194,388147,0.111282581083971
13,2,1,231108,396183,0.583336488440948
13,2,2,127330,353422,0.360277515265037
13,3,1,44412,203379,0.218370628235954
13,3,2,19986,179626,0.1112645162727
13,4,1,4256,44814,0.0949703217744455
13,4,2,1416,40893,0.0346269532682855
13,5,1,1084,2823,0.383988664541268
13,5,2,460,2506,0.183559457302474
13,6,1,636,1591,0.399748585795097
13,6,2,362,1486,0.243606998654105
13,7,1,16288,35070,0.46444254348446
13,7,2,8150,32017,0.254552269107037
16,1,1,15652,133744,0.117029548989114
16,1,2,4776,118717,0.0402301271090071
16,2,1,586,2362,0.24809483488569
16,2,2,234,2121,0.11032531824611
16,3,1,4808,36426,0.131993630922967
16,3,2,1812,32692,0.0554264040132142
16,4,1,188,2535,0.0741617357001972
16,4,2,24,2591,0.00926283288305673
16,5,1,664,2737,0.24260138838144
16,5,2,252,2452,0.102773246329527
16,6,1,156,738,0.211382113821138
16,6,2,40,675,0.0592592592592593
16,7,1,1066,4951,0.215310038376086
16,7,2,314,4269,0.0735535254157882
17,1,1,88364,627556,0.140806557502438
17,1,2,32880,541976,0.060666892998952
17,2,1,100128,223291,0.448419327245612
17,2,2,63654,198621,0.32047970758379
17,3,1,58852,404639,0.145443222230185
17,3,2,29442,352564,0.0835082424751251
17,4,1,3264,64845,0.0503354152209114
17,4,2,1058,58275,0.0181552981552982
17,5,1,1108,4720,0.234745762711864
17,5,2,504,4211,0.119686535264783
17,6,1,292,1870,0.156149732620321
17,6,2,118,1754,0.0672748004561003
17,7,1,12796,40846,0.313274249620526
17,7,2,5962,35667,0.167157316286764
18,1,1,89202,452278,0.197228253419357
18,1,2,33816,393981,0.0858315502524233
18,2,1,46962,79911,0.587678792656831
18,2,2,26362,70469,0.374093573060495
18,3,1,18784,93335,0.201253549043767
18,3,2,8480,83392,0.101688411358404
18,4,1,1414,17154,0.0824297539932377
18,4,2,424,16629,0.0254976246316676
18,5,1,530,1656,0.320048309178744
18,5,2,244,1593,0.153170119271814
18,6,1,76,653,0.116385911179173
18,6,2,44,662,0.0664652567975831
18,7,1,11730,29937,0.391822827938671
18,7,2,5740,26246,0.218699992379791
19,1,1,30256,235204,0.128637268073672
19,1,2,10120,206568,0.048991131249758
19,2,1,8156,20070,0.406377678126557
19,2,2,4196,17191,0.244081205281834
19,3,1,5818,40412,0.143967138473721
19,3,2,2516,35873,0.0701363142196081
19,4,1,460,8798,0.0522846101386679
19,4,2,194,8108,0.0239269856931426
19,5,1,290,1455,0.199312714776632
19,5,2,236,1263,0.186856690419636
19,6,1,178,1046,0.170172084130019
19,6,2,80,900,0.0888888888888889
19,7,1,3414,10515,0.324679029957204
19,7,2,1482,9540,0.155345911949686
20,1,1,35368,197177,0.179371833428848
20,1,2,11734,172696,0.0679459860100987
20,2,1,14538,22693,0.640638082228
20,2,2,7312,19647,0.37216877894844
20,3,1,15404,78504,0.196219300927341
20,3,2,6258,70259,0.089070439374315
20,4,1,994,10457,0.0950559433872047
20,4,2,320,9512,0.0336417157275021
20,5,1,1168,3528,0.331065759637188
20,5,2,652,3199,0.203813691778681
20,6,1,168,854,0.19672131147541
20,6,2,56,786,0.0712468193384224
20,7,1,5378,14686,0.366199101184802
20,7,2,2446,13265,0.184395024500565
21,1,1,92316,334009,0.276387762006413
21,1,2,37910,288115,0.131579404057408
21,2,1,31448,46420,0.677466609220164
21,2,2,17972,40198,0.447086919747251
21,3,1,7440,31983,0.232623581277554
21,3,2,3132,27568,0.113609982588508
21,4,1,766,7706,0.0994030625486634
21,4,2,252,7794,0.0323325635103926
21,5,1,264,702,0.376068376068376
21,5,2,152,668,0.227544910179641
21,6,1,168,599,0.280467445742905
21,6,2,72,568,0.126760563380282
21,7,1,6742,13915,0.484513115343155
21,7,2,3098,12594,0.245990154041607
22,1,1,53016,204615,0.259101238912103
22,1,2,19562,178433,0.109632186871263
22,2,1,106172,200455,0.529655034795839
22,2,2,62614,176065,0.355630023002868
22,3,1,7924,33335,0.23770811459427
22,3,2,3452,29646,0.116440666531741
22,4,1,1104,7731,0.142801707411719
22,4,2,508,7044,0.0721181147075525
22,5,1,1478,3510,0.421082621082621
22,5,2,678,2931,0.231320368474923
22,6,1,108,525,0.205714285714286
22,6,2,48,440,0.109090909090909
22,7,1,4046,8707,0.464683587917767
22,7,2,1784,8013,0.222638212904031
23,1,1,15082,105292,0.143239752307868
23,1,2,5426,89396,0.0606962280191507
23,2,1,1548,5194,0.29803619561032
23,2,2,590,4662,0.126555126555127
23,3,1,502,2463,0.203816483962647
23,3,2,204,2246,0.0908281389136242
23,4,1,172,1903,0.0903836048344719
23,4,2,40,1978,0.0202224469160768
23,5,1,272,909,0.299229922992299
23,5,2,98,757,0.129458388375165
23,6,1,8,155,0.0516129032258065
23,6,2,8,157,0.0509554140127389
23,7,1,478,2295,0.208278867102397
23,7,2,266,2064,0.128875968992248
24,1,1,19174,213254,0.0899115608616954
24,1,2,6814,185808,0.0366722638422458
24,2,1,37506,197518,0.18988649135775
24,2,2,20360,170605,0.119339995896955
24,3,1,7386,112374,0.0657269475145496
24,3,2,3098,96670,0.0320471707872142
24,4,1,986,35444,0.0278185306398826
24,4,2,252,31428,0.00801832760595647
24,5,1,404,1840,0.219565217391304
24,5,2,152,1680,0.0904761904761905
24,6,1,152,1077,0.141132776230269
24,6,2,52,929,0.0559741657696448
24,7,1,4210,22762,0.184957385115543
24,7,2,1928,20496,0.0940671350507416
25,1,1,34628,393949,0.0878997027534021
25,1,2,12990,341584,0.0380287132886786
25,2,1,15752,61984,0.25413009808983
25,2,2,7270,52260,0.139112131649445
25,3,1,24386,138603,0.17594135769067
25,3,2,11924,118757,0.100406712867452
25,4,1,2192,41944,0.0522601563990082
25,4,2,688,37813,0.0181948007299077
25,5,1,322,1742,0.184845005740528
25,5,2,220,1685,0.130563798219585
25,6,1,108,809,0.133498145859085
25,6,2,24,827,0.0290205562273277
25,7,1,4536,26162,0.173381239966363
25,7,2,1848,20288,0.0910883280757098
26,1,1,116696,652210,0.178923966207203
26,1,2,41058,569491,0.0720959593742482
26,2,1,89466,172521,0.518580346740397
26,2,2,51400,151532,0.339202280706385
26,3,1,17182,86279,0.199144635426929
